OrgName,Repos,Location,total_languages,public_members,continent
errfree,2,No Location,0,0,Unknown
engineyard,309,"San Francisco, CA",12,0,North America
ministrycentered,91,"Carlsbad, CA",15,26,North America
collectiveidea,160,"Holland, MI",11,5,North America
ogc,2,"Nashville, TN",1,3,North America
sevenwire,14,"Costa Mesa, CA",2,0,North America
entryway,7,"floyd, virginia",2,4,North America
merb,14,No Location,1,4,Unknown
moneyspyder,48,London,5,0,Europe
sproutit,21,"Los Altos, CA",4,0,North America
wrenchlabs,1,"Charlotte, NC",1,0,North America
ipvideomarketinfo,1,No Location,1,0,Unknown
revelation,24,Portland OR,4,0,North America
railslove,137,"Cologne, Germany",7,14,Europe
railsdog,70,"New York, NY",8,3,North America
netguru,132,"Poznan, Poland",15,30,Europe
animikii,5,"Victoria, Canada",4,0,North America
cdr,40,"Austin, TX",6,10,North America
sauspiel,21,"Berlin, Germany",7,9,Europe
wherecloud,1,"Montreal, Canada",1,0,North America
triveos,0,"Curitiba, PR, Brasil",0,1,South America
lincolnloop,155,No Location,8,9,Unknown
notch8,212,"San Diego, CA",11,2,North America
edgecase,70,"Columbus, OH",9,14,North America
galaxycats,43,Cologne / Germany,5,2,Europe
standout,80,Sweden,9,3,Europe
trabian,94,"Broad Ripple, IN",13,3,North America
wesabe,26,No Location,7,2,Unknown
UntoThisLast,1,London,1,0,Europe
gumgum,26,"Santa Monica, CA",6,2,North America
caring,82,"San Mateo, CA",8,0,North America
voceconnect,116,"Winter Haven, FL",5,5,North America
braintree,97,"Chicago, IL",13,30,North America
jiva-technology,21,"Bristol, UK",2,0,Europe
insightmethods,11,No Location,4,0,Unknown
squarefactor,31,"Orlando, FL",6,1,North America
intridea,1,"Washington, DC",1,15,North America
rarepleasures,0,London,0,0,Europe
eastmedia,20,"New York, NY",3,1,North America
fivesenses,3,"Perth, Western Australia",1,1,Oceania
Rouxbe,8,"Vancouver, BC, Canada",2,1,North America
xilinus,10,France,5,0,Europe
rails,98,No Location,7,30,Unknown
railsmachine,79,"Savannah, GA",5,2,North America
reversetype,1,US,1,0,North America
survival,6,No Location,1,0,Unknown
vigetlabs,213,"Falls Church, VA / Durham, NC / Boulder, CO",13,8,North America
softa,17,Porto Alegre / RS - Brasil,4,15,South America
papercreatures,11,Brighton,4,1,Europe
warhorn,2,"Brooklyn, NY",1,1,North America
wisdomgroup,7,"Chicago, IL USA",4,0,North America
rubaidh,30,"Edinburgh, Scotland",2,0,Europe
beyoumedia,0,Switzerland,0,1,Europe
gsl,1,"Tampa, FL",1,2,North America
trix,2,"Pszczyna, Poland",1,0,Europe
acunote,12,No Location,3,0,Unknown
trms,60,"Minneapolis, MN",9,5,North America
hashrocket,132,"Chicago, IL & Jax Beach, FL",11,10,North America
flogic,25,"Nashville, TN",2,3,North America
mpowered,27,South Africa,5,0,Africa
rubypond,1,San Francisco,0,1,North America
SalesLentz,1,Luxembourg,1,1,Europe
thoughtbot,349,USA & London,19,15,North America
sifterapp,4,United States,1,0,North America
insomniapps,1,No Location,1,0,Unknown
beyondthepath,4,No Location,1,0,Unknown
sanswork,0,No Location,0,0,Unknown
abakas,1,"Boston, MA",1,3,North America
loggly,71,"San Francisco, CA",12,3,North America
WebKit,3,No Location,1,7,Unknown
notonthehighstreet,114,London,14,5,Europe
intercom,130,"Dublin, London, San Francisco",17,30,North America
digitalpulp,17,New York,6,0,North America
efficiency20,18,"New York, NY",1,2,North America
gnoso,17,"Greenville, South Carolina",6,0,North America
infochimps,6,"Austin, TX and elsewhere",2,0,North America
citrusbyte,0,"LAX, NYC, PDX, SFO, EZE",0,0,North America
kinda,54,"Tokyo, Japan",3,2,Asia
Sentia,43,"Sydney, Australia",7,1,Oceania
loudpixel,4,"East Lansing, MI",2,0,North America
omnigroup,9,Seattle WA,3,1,North America
bebanjo,52,"Madrid, Spain",4,10,Europe
code,0,"London, UK & Bangkok, Thailand",0,0,Europe
crushlovely,113,New York,8,4,North America
Flatsourcing,0,No Location,0,0,Unknown
kyan,53,"Guildford, UK",7,3,Europe
causes,83,"San Francisco, CA",7,1,North America
uversity,30,"San Francisco, CA",7,0,North America
formrausch,25,"Koblenz, Germany",4,5,Europe
Aissac,51,"Cluj-Napoca, Romania",5,2,Europe
animoto,54,"New York, NY",7,0,North America
generalthings,0,"San Francisco, CA",0,0,North America
ctisol,17,"Portland, Oregon, USA",3,0,North America
bitsemble,1,United States,1,0,North America
c7,24,"Stockholm, Sweden",5,1,Europe
mootools,23,No Location,4,20,Unknown
Shopify,583,The Internet,13,30,Unknown
peervoice,0,No Location,0,0,Unknown
klout,19,"San Francisco, CA",5,0,North America
sinatra,11,No Location,3,26,Unknown
